night,tst_min,inbed_min,efficiency_pct,deep_pct,core_pct,rem_pct,awake_pct
2024-07-08,86.5,86.5,100.0,41.6,58.4,0.0,0.0
2024-07-09,602.5,1121.5,53.7,14.8,59.8,14.0,11.5
2024-07-10,471.5,1092.5,43.2,2.7,72.3,21.6,3.5
2024-07-11,497.5,462.0,107.7,9.4,66.0,22.8,1.9
2024-07-12,546.0,1113.5,49.0,12.9,65.1,20.5,1.5
2024-07-13,527.0,1078.0,48.9,7.9,62.0,20.9,9.1
2024-07-14,552.5,1167.5,47.3,9.0,65.1,22.8,3.1
2024-07-15,492.0,1037.5,47.4,10.8,66.2,17.4,5.7
2024-07-16,472.5,1051.0,45.0,17.0,63.7,17.7,1.7
2024-07-17,553.0,581.0,95.2,7.1,70.2,20.3,2.5
2024-07-18,476.0,476.0,100.0,12.3,68.0,18.1,1.7
2024-07-19,604.0,579.5,104.2,9.1,69.4,19.4,2.1
2024-07-20,496.5,425.5,116.7,14.7,63.2,20.1,2.0
2024-07-21,509.5,516.5,98.6,13.0,70.8,14.2,2.0
2024-07-22,476.5,517.5,92.1,7.4,67.5,23.3,1.9
2024-07-23,492.5,506.5,97.2,8.5,65.3,22.3,3.9
2024-07-24,522.5,479.0,109.1,16.2,59.4,22.7,1.8
2024-07-25,512.0,529.5,96.7,8.3,74.7,15.7,1.3
2024-07-26,411.0,450.5,91.2,8.7,78.1,12.0,1.2
2024-07-27,518.5,523.0,99.1,8.0,66.0,20.2,5.8
2024-07-28,431.0,446.5,96.5,15.1,66.7,18.2,0.0
2024-07-29,524.0,480.0,109.2,13.5,60.0,23.0,3.4
2024-07-30,443.5,431.5,102.8,11.7,68.9,17.2,2.2
2024-07-31,420.5,987.0,42.6,10.7,70.0,17.8,1.5
2024-08-01,479.0,1108.5,43.2,7.2,71.7,14.5,6.5
2024-08-02,480.0,452.5,106.1,12.5,66.7,17.7,3.1
2024-08-03,385.5,396.5,97.2,10.7,73.1,11.8,4.5
2024-08-04,462.5,413.0,112.0,10.8,71.8,16.0,1.5
2024-08-05,458.5,524.5,87.4,17.2,66.2,15.2,1.4
2024-08-06,409.5,409.5,100.0,18.8,59.3,19.3,2.6
2024-08-07,460.0,412.5,111.5,8.0,70.3,18.9,2.7
2024-08-08,510.0,474.0,107.6,12.2,60.0,22.1,5.6
2024-08-09,495.0,499.0,99.2,9.4,67.8,16.1,6.6
2024-08-10,517.5,523.0,98.9,5.3,66.3,22.4,6.0
2024-08-11,438.5,453.5,96.7,13.6,67.3,18.5,0.7
2024-08-12,429.5,488.5,87.9,5.3,72.2,21.4,1.2
2024-08-13,501.5,434.5,115.4,7.7,71.9,17.1,3.4
2024-08-14,479.0,491.5,97.5,8.2,65.6,21.6,4.7
2024-08-15,501.5,491.5,102.0,13.0,66.4,20.0,0.6
2024-08-16,455.5,442.0,103.1,9.6,69.3,20.1,1.0
2024-08-17,371.0,449.0,82.6,9.0,62.9,22.0,6.1
2024-08-18,83.5,70.5,118.4,38.6,45.6,13.5,2.3
2024-08-19,461.0,464.0,99.4,2.7,71.5,22.6,3.2
2024-08-20,481.0,436.0,110.3,11.2,71.1,16.9,0.7
2024-08-21,429.0,484.0,88.6,8.0,65.6,24.8,1.6
2024-08-22,522.5,489.0,106.9,10.1,71.4,13.8,4.7
2024-08-23,440.5,474.0,92.9,3.5,70.1,22.9,3.5
2024-08-24,534.5,1048.5,51.0,15.6,61.4,20.7,2.3
2024-08-25,500.0,1066.5,46.9,6.7,64.7,23.1,5.5
2024-08-26,475.5,1036.0,45.9,7.3,72.6,19.0,1.1
