week,nights,sleep_tst_mean_hr,sleep_efficiency_mean_pct,sleep_deep_pct_mean,sleep_core_pct_mean,sleep_rem_pct_mean,sleep_awake_pct_mean
2024-W28,7,7.82,64.3,14.0,64.1,17.5,4.4
2024-W29,7,8.58,86.7,12.0,67.3,18.2,2.5
2024-W30,7,8.01,97.4,10.3,68.2,19.2,2.3
2024-W31,7,7.61,87.6,11.0,68.9,16.9,3.3
2024-W32,7,7.83,100.2,12.1,65.3,18.9,3.7
2024-W33,7,6.72,101.0,13.0,64.8,19.4,2.7
2024-W34,7,8.02,85.1,8.3,68.0,20.7,3.1
2024-W35,7,7.74,67.2,10.2,68.5,19.5,1.8
2024-W36,7,7.79,85.5,11.7,66.0,19.5,2.9
2024-W37,1,7.12,41.0,6.3,67.5,21.4,4.8
2025-W03,2,4.19,94.9,23.9,51.7,21.5,2.9
2025-W04,7,8.1,100.1,9.0,67.3,19.7,4.0
2025-W05,6,7.86,100.0,10.3,65.7,20.2,3.7
2025-W06,7,7.93,102.2,8.9,67.5,17.8,5.8
2025-W07,7,7.77,98.8,8.3,64.7,18.2,8.8
2025-W08,7,7.75,99.2,9.1,64.4,15.4,11.2
2025-W09,7,7.47,100.6,11.5,66.6,17.7,4.3
2025-W10,7,8.01,99.5,11.6,66.8,16.9,4.7
2025-W11,7,8.15,100.6,9.7,66.8,18.9,4.6
2025-W12,7,8.08,101.6,8.2,70.1,18.3,3.4
2025-W13,7,8.03,101.5,10.8,67.3,17.9,4.0
2025-W14,7,8.07,99.4,8.7,68.2,18.9,4.1
2025-W15,7,8.04,104.1,8.5,68.1,19.5,3.8
2025-W16,7,7.45,98.3,8.3,66.6,18.6,6.6
2025-W17,7,7.82,102.2,11.8,65.4,20.2,2.6
2025-W18,4,7.55,71.0,8.2,70.3,18.5,3.0
